HIAT1	Hs.124156
HCN2	Hs.124161
MRPS30	Hs.124165
PHF17	Hs.12420
DEFB126	Hs.124211
LOC400768	Hs.12422
C9orf50	Hs.124223
C10orf119	Hs.124246
FAM167A	Hs.124299
LOC723809	Hs.124316
BBX	Hs.124366
ARTC1	Hs.124366
ZNF738	Hs.124384
FBXL12	Hs.12439
C13orf26	Hs.124463
OPALIN	Hs.12449
ACIN1	Hs.124490
C22orf33	Hs.124502
ZEB1	Hs.124503
EML1	Hs.12451
TBC1D21	Hs.124512
SOHLH2	Hs.124519
C13orf38	Hs.124519
SHPRH	Hs.124537
SLC23A3	Hs.124565
NUP133	Hs.12457
TAS1R1	Hs.124574
C20orf39	Hs.124638
ABCG1	Hs.124649
DSEL	Hs.124673
BDH2	Hs.124696
RNF186	Hs.124835
BATF2	Hs.124840
LGI2	Hs.12488
LRMP	Hs.124922
RND1	Hs.124940
PPP2R3B	Hs.124942
FAM84B	Hs.124951
CUX2	Hs.124953
PLXDC1	Hs.125036
ASB6	Hs.125037
FAM92A1	Hs.125038
CROT	Hs.125039
LOC92973	Hs.12509
CCT8	Hs.125113
CACNA1I	Hs.125116
NRG3	Hs.125119
LOC157627	Hs.12513
HPS6	Hs.125133
LRRC36	Hs.125139
C11orf92	Hs.125166
GHR	Hs.125180
ATOX1	Hs.125213
TMX1	Hs.125221
VENTX	Hs.125231
C21orf54	Hs.125234
KLF14	Hs.125240
RASGEF1A	Hs.125293
TRIM34	Hs.125300
TRIM6	Hs.125300
TRIM6-TRIM34	Hs.125300
DPPA5	Hs.125331
ASB17	Hs.125423
LPXN	Hs.125474
SLC22A15	Hs.125482
MAPK10	Hs.125503
DDX43	Hs.125507
LOC148696	Hs.125511
DDHD1	Hs.125525
NAP1L5	Hs.12554
TMPRSS12	Hs.125571
C9orf152	Hs.125608
ART5	Hs.125680
LOC150527	Hs.125706
TISP43	Hs.125706
FAM92B	Hs.125713
LRCH4	Hs.125742
KERA	Hs.125750
LELP1	Hs.125785
EVL	Hs.125867
C16orf78	Hs.125875
GNAS	Hs.125898
UNQ6494	Hs.125947
C20orf70	Hs.125960
TFEC	Hs.125962
FAM135B	Hs.126024
RPGRIP1	Hs.126035
FRAT1	Hs.126057
CRB1	Hs.126135
ACOT7	Hs.126137
CBLN4	Hs.126141
RP4-662A9.2	Hs.126165
TRAPPC10	Hs.126221
TCFL5	Hs.126248
IL1B	Hs.126256
ACY3	Hs.126265
ZNF322A	Hs.126280
OCRL	Hs.126357
ABCG4	Hs.126378
DYX1C1	Hs.126403
C6orf105	Hs.126409
PARP12	Hs.12646
ZNRF4	Hs.126496
AEBP2	Hs.126497
PRNT	Hs.126516
CD55	Hs.126517
VPS4B	Hs.126550
LOC283357	Hs.126558
KIAA1409	Hs.126561
TCERG1L	Hs.126575
LPAR1	Hs.126667
LOC728064	Hs.126682
CHDH	Hs.126688
ACCS	Hs.126706
FAM162B	Hs.126712
RNF133	Hs.126730
PTRH2	Hs.12677
40068	Hs.126780
ADAMTS12	Hs.12680
FAM131C	Hs.126825
SLC47A2	Hs.126830
ADAM29	Hs.126838
FLJ25076	Hs.126856
LOC149832	Hs.126857
METTL4	Hs.126888
IL22RA2	Hs.126891
PTCD2	Hs.126906
LRRC49	Hs.12692
NAPA	Hs.126938
FAM49B	Hs.126941
LOC644135	Hs.126980
GCK	Hs.1270
TINAG	Hs.127011
PTPRE	Hs.127022
C1orf127	Hs.127026
RLN2	Hs.127032
SCGB1C1	Hs.127059
DNAJC13	Hs.12707
LOC728573	Hs.127089
LOC440117	Hs.127100
TEKT2	Hs.127111
CPEB4	Hs.127126
ETV3L	Hs.127138
CA13	Hs.127189
C17orf50	Hs.127194
CNTN3	Hs.12723
SNF8	Hs.127249
LOC346887	Hs.127286
UHMK1	Hs.127310
LOC440173	Hs.127361
DKFZP564C196	Hs.127384
LOC387723	Hs.127394
BMP1	Hs.1274
IFT172	Hs.127401
KIAA0652	Hs.127403
DCDC1	Hs.127405
CDC14A	Hs.127411
DTWD1	Hs.127432
ZNF788	Hs.127473
GTPBP8	Hs.127496
GPR26	Hs.12751
KLHL10	Hs.127510
ARMC4	Hs.127530
HOXC11	Hs.127562
UNC119B	Hs.127610
SLCO4C1	Hs.127648
CLN8	Hs.127675
LOC389332	Hs.127680
LOC283332	Hs.127688
PPP1R2P9	Hs.127689
ESPNL	Hs.127724
ATP6V1G3	Hs.127743
MGC12982	Hs.127762
H2BFWT	Hs.127778
DLL3	Hs.127792
BIRC3	Hs.127799
KCNQ1DN	Hs.127821
MYLK4	Hs.127830
DCAF8L2	Hs.127840
FLJ32742	Hs.127840
BOD1P	Hs.127882
RAPGEF1	Hs.127897
ADAM18	Hs.127930
CLEC12B	Hs.127937
BRD1	Hs.127950
MAP7D2	Hs.127951
LOC728460	Hs.127963
NANOS3	Hs.127982
OSGIN1	Hs.128055
AVL9	Hs.128056
FITM1	Hs.128060
CTSC	Hs.128065
LOC100131551	Hs.128066
WIPF1	Hs.128067
FAM187B	Hs.128069
LRRC19	Hs.128071
C9orf128	Hs.128075
ZNF624	Hs.128078
ZMYND19	Hs.128096
LOC100289409	Hs.128096
CST11	Hs.128100
LOC100287227	Hs.12813
BTG4	Hs.128180
FLJ42102	Hs.128191
MKX	Hs.128193
MICALCL	Hs.128196
40067	Hs.128199
PAGE1	Hs.128231
C20orf165	Hs.128235
ENOX1	Hs.128258
LOC645323	Hs.12827
L3MBTL4	Hs.128279
IGDCC3	Hs.128292
BAIAP2	Hs.128316
C6orf221	Hs.128326
CCT8L2	Hs.128342
SLC6A17	Hs.128382
TTC30A	Hs.128384
VPS4A	Hs.128420
C19orf29	Hs.128425
C19orf29OS	Hs.128425
UPP2	Hs.128427
HPGDS	Hs.128433
EGFL6	Hs.12844
TMEM128	Hs.12845
FRZB	Hs.128453
NCRNA00116	Hs.128499
C8G	Hs.1285
PTDSS2	Hs.12851
LOC100131598	Hs.12851
WDR1	Hs.128548
C12orf12	Hs.128574
FMR1NB	Hs.128580
NSFL1C	Hs.12865
SIRPB2	Hs.12865
SPRYD4	Hs.128676
LOC255783	Hs.128690
FBXO46	Hs.128702
AIM1L	Hs.128738
TRMT6	Hs.128791
ACTA1	Hs.1288
LOC344887	Hs.128803
C17orf69	Hs.128813
CHIA	Hs.128814
OPHN1	Hs.128824
CXorf41	Hs.128836
GRIK3	Hs.128848
SCARA3	Hs.128856
ATP13A2	Hs.128866
RP1	Hs.128938
PCF11	Hs.128959
CCKAR	Hs.129
ODF2	Hs.129055
CYP2E1	Hs.12907
NAF1	Hs.129095
LMX1B	Hs.129133
DNASE2B	Hs.129142
FAM53B	Hs.129195
CSNK1G3	Hs.129206
MIOX	Hs.129227
SCUBE3	Hs.12923
ZNF319	Hs.129268
LOC729291	Hs.129278
hCG_1791940	Hs.129283
C17orf80	Hs.12929
FAM71A	Hs.129293
C17orf64	Hs.129312
CACNA1S	Hs.1294
EPHA10	Hs.129435
LOC100134015	Hs.129448
DACH1	Hs.129452
TAX1BP3	Hs.12956
C17orf59	Hs.129563
LOC643770	Hs.129589
FSIP1	Hs.129598
TMEM27	Hs.129614
CINP	Hs.129634
SYNE1	Hs.12967
EIF4A1	Hs.129673
SNORA67	Hs.129673
SNORA48	Hs.129673
